,City,Venue Category,Venue,Venue Latitude,Venue Longitude
0,Agoura Hills,Fast Food Restaurant,El Pollo Loco,34.144732,-118.761088
1,Agoura Hills,Deli / Bodega,Italia Deli & Bakery,34.153098970168415,-118.75903668039842
2,Agoura Hills,Brewery,Ladyface Alehouse & Brasserie,34.14383424641146,-118.76282336043366
3,Agoura Hills,Grocery Store,Trader Joe's,34.14624052496783,-118.75660865115307
4,Agoura Hills,Dessert Shop,Tifa Chocolate & Gelato,34.14458617997186,-118.75459470194123
5,Agoura Hills,Gym,iLoveKickboxing - Agoura Hills,34.15705415112626,-118.75640541352652
6,Agoura Hills,Restaurant,Boar Dough Tasting Room,34.14423676959213,-118.75656397955426
7,Agoura Hills,BBQ Joint,Wood Ranch BBQ & Grill,34.14471078601356,-118.75535035346938
8,Agoura Hills,Bakery,Carrara Pastries,34.14431424085919,-118.75523794439871
9,Agoura Hills,Indian Restaurant,Lal Mirch,34.14782182958774,-118.76053609056241
10,Agoura Hills,Sushi Restaurant,Sushi Raku,34.14823001578954,-118.76016340093447
11,Agoura Hills,American Restaurant,Islands Restaurant,34.143774,-118.762049
12,Agoura Hills,Deli / Bodega,Agoura's Famous Deli,34.15727849007037,-118.7567285058653
13,Agoura Hills,Deli / Bodega,Blue Table,34.144210358908786,-118.75490206297708
14,Agoura Hills,Middle Eastern Restaurant,Maral Persian Resturant,34.15644279392918,-118.75689365300246
15,Agoura Hills,Café,Urbane Cafe,34.146572678206034,-118.75895599029913
16,Agoura Hills,Steakhouse,Prime Steakhouse and Wine Bar,34.14255251511453,-118.757352282638
17,Agoura Hills,Sporting Goods Shop,Future Track Running Center,34.145819388887766,-118.77925102204844
18,Agoura Hills,Breakfast Spot,Jinky's Kanan Cafe,34.14627993869809,-118.75683265215228
19,Agoura Hills,BBQ Joint,Tavern 101 Grill & Tap House,34.143043,-118.746976
20,Agoura Hills,Breakfast Spot,IHOP,34.14505711356827,-118.76232551052394
21,Agoura Hills,Gym,LA Fitness,34.1460567425238,-118.7668540084725
22,Agoura Hills,Gastropub,Twisted Oak Tavern,34.14530825744762,-118.77867876809528
23,Agoura Hills,Park,Forest Cove Park,34.15228998130039,-118.77474887315724
24,Agoura Hills,Big Box Store,Target,34.148044886092116,-118.79396440795266
25,Agoura Hills,Chinese Restaurant,Mandarin Lotus,34.14484755681964,-118.76282190952695
26,Agoura Hills,Burger Joint,Hook Burger,34.14771608874653,-118.79626044517292
27,Agoura Hills,Mexican Restaurant,Plata Cantina,34.14444613338087,-118.75495922114473
28,Agoura Hills,Mexican Restaurant,Adobe Cantina,34.14301,-118.75833
29,Agoura Hills,Multiplex,Regency Agoura Hills 8,34.14429597744231,-118.75725556265753
30,Agoura Hills,Liquor Store,Wades Wines,34.14613299244954,-118.7957009931977
31,Agoura Hills,Ice Cream Shop,Tifa Chocolate & Gelato,34.14789946026238,-118.79580214727575
32,Agoura Hills,French Restaurant,Cafe Bizou,34.14841,-118.782587
33,Agoura Hills,Indian Restaurant,Tikka Grill,34.155367900259776,-118.79446348545969
34,Agoura Hills,Thai Restaurant,Exotic Thai,34.14416398333001,-118.75699062111927
35,Agoura Hills,Bakery,Wildflour,34.146594553820755,-118.75820503604223
36,Agoura Hills,Brewery,Figueroa Mountain Brewing Co.,34.14742673418903,-118.79534353815369
37,Agoura Hills,Mexican Restaurant,Los Agaves,34.14710715204929,-118.79481821449825
38,Agoura Hills,Italian Restaurant,Grissini Ristorante,34.14581546694616,-118.77853444666275
39,Agoura Hills,Food Court,Costco Food Court,34.15215928240625,-118.79730219158948
