City,Date incorporated,Population as of(2010 Census)
Agoura Hills,"December 8, 1982",20330
Alhambra,"July 11, 1903",83653
Arcadia,"August 5, 1903",56364
Artesia,"May 29, 1959",16522
Avalon,"June 26, 1913",3728
Azusa,"December 29, 1898",46361
Baldwin Park,"January 25, 1956",75390
Bell,"November 7, 1927",35477
Bell Gardens,"August 1, 1961",42072
Bellflower,"September 3, 1957",76616
Beverly Hills,"October 22, 1906",34109
Bradbury,"July 26, 1957",1048
Burbank,"July 8, 1911",103340
Calabasas,"April 5, 1991",23058
Carson,"February 20, 1968",91714
Cerritos,"April 24, 1956",49041
Claremont,"October 3, 1907",34926
Commerce,"January 28, 1960",12823
Compton,"May 11, 1888",96455
Covina,"August 14, 1901",47796
Cudahy,"November 10, 1960",23805
Culver City,"September 20, 1917",38883
Diamond Bar,"April 18, 1989",55544
Downey,"December 17, 1956",111772
Duarte,"August 22, 1957",21321
El Monte,"November 18, 1912",113475
El Segundo,"January 18, 1917",16654
Gardena,"September 11, 1930",58829
Glendale,"February 15, 1906",203054
Glendora,"November 13, 1911",50073
Hawaiian Gardens,"April 14, 1964",14254
Hawthorne,"July 12, 1922",84293
Hermosa Beach,"January 10, 1907",19506
Hidden Hills,"October 19, 1961",1856
Huntington Park,"September 1, 1906",58114
Industry,"June 18, 1957",219
Inglewood,"February 14, 1908",109673
Irwindale,"August 6, 1957",1422
La Cañada Flintridge,"December 8, 1976",20246
La Habra Heights,"December 4, 1978",5325
La Mirada,"March 23, 1960",48527
La Puente,"August 1, 1956",39816
La Verne,"September 11, 1906",31063
Lakewood,"April 16, 1954",80048
Lancaster,"November 22, 1977",160316
Lawndale,"December 28, 1959",32769
Lomita,"June 30, 1964",20256
Long Beach,"December 13, 1897",462257
Los Angeles,"April 4, 1850",3792621
Lynwood,"July 16, 1921",69772
Malibu,"March 28, 1991",12645
Manhattan Beach,"December 7, 1912",35135
Maywood,"September 2, 1924",27395
Monrovia,"December 15, 1887",36590
Montebello,"October 15, 1920",62500
Monterey Park,"May 29, 1916",60269
Norwalk,"August 26, 1957",105549
Palmdale,"August 24, 1962",152750
Palos Verdes Estates,"December 20, 1939",13438
Paramount,"January 30, 1957",54098
Pasadena,"June 19, 1886",137122
Pico Rivera,"January 29, 1958",62942
Pomona,"January 6, 1888",149058
Rancho Palos Verdes,"September 7, 1973",41643
Redondo Beach,"April 29, 1892",66748
Rolling Hills,"September 18, 1957",1860
Rolling Hills Estates,"January 24, 1957",8067
Rosemead,"August 4, 1959",53764
San Dimas,"August 4, 1960",33371
San Fernando,"August 31, 1911",23645
San Gabriel,"April 24, 1913",39718
San Marino,"April 25, 1913",13147
Santa Clarita,"December 15, 1987",210888
Santa Fe Springs,"May 15, 1957",16223
Santa Monica,"December 9, 1886",89736
Sierra Madre,"February 7, 1907",10917
Signal Hill,"April 22, 1924",11016
South El Monte,"July 30, 1958",20116
South Gate,"January 15, 1923",94396
South Pasadena,"February 29, 1888",25619
Temple City,"May 25, 1960",35558
Torrance,"May 12, 1921",145438
Vernon,"September 22, 1905",112
Walnut,"January 19, 1959",29172
West Covina,"February 17, 1923",106098
West Hollywood,"November 29, 1984",34399
Westlake Village,"December 11, 1981",8270
Whittier,"February 28, 1898",85331
